COURSE,NAME,DANISH_NAME,LANGUAGE,ECTS_POINTS,COURSE_TYPE,EXAM_TYPE,TIME_OF_WEEK,COURSE_DURATION,EXAM_AID,EXAMINER,ASSIGNMENTS,GRADE_TYPE,CAMPUS,SEMESTER_PERIOD,MAIN_RESPONSIBLE_NAME,CO_RESPONSIBLE_1_NAME,CO_RESPONSIBLE_2_NAME,CO_RESPONSIBLE_3_NAME,CO_RESPONSIBLE_4_NAME,STUDY_LINES,AVERAGE_GRADE,PERCENT_PASSED,TOTAL_STUDENTS,WORKLOAD_AVERAGE_SCORE,LEARNING_AVERAGE_SCORE,MOTIVATION_AVERAGE_SCORE,FEEDBACK_AVERAGE_SCORE
10380,Quantum Optics,Kvanteoptik,English,10.0,MSc,Oral exam,"['F4A (Spring, Tues 13-17)', 'F4B (Spring, Fri 8-12)']",DURATION_13_WEEKS,No aid,EXAMINER_EXTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring,Alexander Huck,Niels Gregersen,Luca Vannucci,NO_DATA,NO_DATA,"['MSc, Engineering Light', 'MSc, Engineering Physics']",8.97,83.0,106,3.69,4.79,4.41,4.0
10384,Quantum information,Kvanteinformation,English,5.0,MSc,Oral exam,"['E4B (Autumn, Fri 8-12)']",DURATION_13_WEEKS,No aid,EXAMINER_EXTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Jonas Schou Neergaard-Nielsen,Jonatan Bohr Brask,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",8.82,88.7,133,3.14,4.51,4.22,3.42
10385,Quantum Information Technology,Kvanteinformationsteknologi,English,5.0,MSc,Written exam,"['F3A (Spring, Tues 8-12)']",DURATION_13_WEEKS,All aid,EXAMINER_EXTERNAL,No mandatory assignments,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring,Ulrik Lund Andersen,Jonatan Bohr Brask,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",6.61,68.2,85,3.43,4.18,3.92,3.78
10386,Experimental Techniques in Quantum Technology,Eksperimentelle Teknikker i Kvanteteknologi,English,5.0,MSc,Report hand-in,['3-week June'],DURATION_3_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory experiments,PASS_OR_FAIL,CAMPUS_LYNGBY,June,Tobias Gehring,Alexander Huck,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",Pass/Fail,96.3,82,3.26,4.11,3.89,3.42
10387,Scientific computing in quantum information science,Scientific computing i kvanteinformationsvidenskab,English,5.0,MSc,Report hand-in,['3-week August'],DURATION_3_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,August,Jonas Schou Neergaard-Nielsen,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",Pass/Fail,100.0,7,3.14,4.29,4.57,4.43
10400,Plasma Physics,Plasmafysik,English,5.0,MSc,Oral exam,"['E5A (Autumn, Wed 8-12)']",DURATION_13_WEEKS,No computers,EXAMINER_EXTERNAL,No mandatory assignments,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Mirko Salewski,Anders Henry Nielsen,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",8.29,81.3,107,3.3,4.64,4.06,4.36
10401,Experimental plasma physics,Eksperimentel plasmafysik,English,5.0,MSc,Oral exam,"['F2B (Spring, Thurs 8-12)']",DURATION_13_WEEKS,No aid,EXAMINER_INTERNAL,Mandatory reports,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring,Stefan Kragh Nielsen,Jesper Rasmussen,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",9.12,94.1,51,3.0,4.38,4.26,4.38
10402,Fusion energy – engineering and physics,Fusionsenergi – teknologi og fysik,Danish,5.0,BSc,Oral exam,['3-week June'],DURATION_3_WEEKS,No computers,EXAMINER_INTERNAL,Mandatory reports,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,June,Søren Bang Korsholm,NO_DATA,NO_DATA,NO_DATA,NO_DATA,['Not linked to any study lines'],8.95,100.0,78,2.9,4.71,4.54,4.06
10405,Theory of Relativity,Relativitetsteori,English,5.0,MSc,Written exam,"['E1A (Autumn, Mon 8-12)']",DURATION_13_WEEKS,No computers,EXAMINER_INTERNAL,No mandatory assignments,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Thomas Olsen,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Earth and Space Physics and Engineering', 'MSc, Engineering Physics']",6.04,77.3,185,3.08,4.48,3.95,2.39
10411,Nuclear reactor physics,Atomreaktorfysik,English,5.0,MSc,Written exam,"['F4B (Spring, Fri 8-12)']",DURATION_13_WEEKS,No aid,EXAMINER_INTERNAL,Mandatory reports,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring,Bent Lauritzen,Amalia Ana-Maria Chambon,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",6.28,87.1,62,3.06,4.22,3.83,3.34
