COURSE,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,E22_LEARNING,F23_LEARNING,E23_LEARNING,F24_LEARNING,E24_LEARNING,F25_LEARNING,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,E22_MOTIVATION,F23_MOTIVATION,E23_MOTIVATION,F24_MOTIVATION,E24_MOTIVATION,F25_MOTIVATION,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,E22_FEEDBACK,F23_FEEDBACK,E23_FEEDBACK,F24_FEEDBACK,E24_FEEDBACK,F25_FEEDBACK,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD,E22_WORKLOAD,F23_WORKLOAD,E23_WORKLOAD,F24_WORKLOAD,E24_WORKLOAD,F25_WORKLOAD
02441,,,"[0, 0, 4, 3, 13]",,"[1, 2, 6, 10, 13]",,"[1, 0, 3, 6, 11]",,"[0, 0, 2, 0, 6]",,"[0, 0, 0, 1, 1]",,,,"[0, 1, 2, 5, 11]",,"[1, 3, 8, 11, 8]",,"[1, 2, 3, 5, 9]",,"[0, 1, 0, 3, 4]",,"[0, 0, 0, 0, 1]",,,,"[0, 0, 3, 4, 13]",,"[4, 3, 5, 8, 11]",,"[1, 1, 2, 4, 12]",,"[1, 0, 0, 3, 4]",,"[0, 0, 0, 0, 1]",,,,"[0, 1, 8, 6, 5]",,"[0, 1, 7, 14, 9]",,"[0, 1, 6, 5, 8]",,"[0, 1, 3, 2, 2]",,"[0, 0, 0, 1, 0]",
02443,,"[0, 1, 8, 12, 13]",,"[1, 5, 8, 27, 17]",,"[0, 1, 2, 5, 13]",,"[1, 3, 2, 11, 8]",,"[0, 2, 3, 11, 7]",,,,"[2, 4, 7, 12, 9]",,"[7, 10, 7, 19, 15]",,"[0, 1, 1, 9, 10]",,"[3, 2, 8, 6, 6]",,"[1, 4, 3, 12, 3]",,,,"[3, 4, 7, 10, 10]",,"[5, 9, 11, 21, 11]",,"[0, 0, 5, 5, 11]",,"[3, 2, 7, 7, 6]",,"[4, 5, 9, 4, 1]",,,,"[1, 3, 11, 10, 9]",,"[0, 3, 18, 15, 20]",,"[0, 2, 10, 6, 3]",,"[1, 0, 10, 7, 7]",,"[0, 4, 7, 7, 6]",,
02445,,,"[5, 4, 6, 1, 1]",,"[7, 8, 5, 9, 2]",,"[3, 4, 6, 9, 2]",,"[3, 3, 1, 6, 0]","[2, 2, 6, 5, 6]",,,,,"[3, 9, 3, 1, 1]",,"[10, 7, 6, 5, 3]",,"[3, 6, 4, 7, 4]",,"[2, 4, 1, 6, 0]","[4, 3, 7, 5, 2]",,,,,"[3, 8, 3, 1, 2]",,"[8, 9, 7, 5, 2]",,"[6, 8, 5, 3, 2]",,"[2, 5, 2, 4, 0]","[5, 4, 9, 1, 2]",,,,,"[0, 3, 8, 4, 1]",,"[0, 3, 12, 14, 1]",,"[1, 3, 12, 6, 2]",,"[1, 6, 3, 3, 0]","[0, 2, 13, 6, 0]",,
02450,,"[2, 8, 22, 58, 79]","[5, 13, 31, 97, 95]","[5, 14, 17, 49, 45]","[4, 17, 29, 90, 83]","[5, 11, 26, 53, 74]","[2, 4, 20, 55, 62]","[0, 6, 10, 35, 46]","[10, 16, 39, 76, 71]","[4, 2, 15, 39, 66]","[2, 13, 29, 63, 64]",,,"[11, 22, 35, 51, 49]","[21, 35, 51, 80, 54]","[15, 26, 27, 39, 23]","[23, 36, 46, 72, 44]","[10, 27, 28, 58, 45]","[6, 19, 29, 45, 40]","[2, 16, 15, 36, 26]","[27, 36, 37, 73, 37]","[11, 18, 32, 24, 40]","[28, 23, 27, 48, 41]",,,"[5, 17, 36, 59, 52]","[7, 23, 67, 86, 58]","[9, 17, 43, 43, 19]","[8, 29, 52, 92, 40]","[8, 18, 44, 63, 35]","[6, 14, 29, 55, 36]","[0, 3, 25, 37, 30]","[7, 39, 50, 76, 37]","[4, 12, 25, 41, 40]","[9, 19, 29, 64, 44]",,,"[0, 8, 64, 71, 26]","[2, 12, 94, 85, 48]","[2, 10, 44, 39, 35]","[5, 14, 73, 77, 51]","[3, 5, 45, 65, 49]","[2, 8, 48, 51, 31]","[0, 1, 26, 44, 24]","[3, 8, 68, 69, 59]","[3, 2, 45, 42, 31]","[4, 9, 57, 46, 50]",
02455,,,"[0, 0, 2, 6, 7]",,,,"[0, 2, 4, 10, 8]",,"[0, 0, 3, 13, 17]",,"[0, 0, 6, 10, 11]",,,,"[0, 0, 0, 8, 7]",,,,"[0, 0, 5, 8, 11]",,"[0, 0, 2, 11, 20]",,"[0, 0, 4, 11, 11]",,,,"[0, 0, 1, 1, 13]",,,,"[0, 0, 1, 2, 21]",,"[0, 0, 0, 4, 28]",,"[0, 0, 1, 3, 22]",,,,"[0, 0, 5, 7, 3]",,,,"[2, 5, 9, 7, 1]",,"[0, 2, 14, 9, 7]",,"[0, 5, 10, 8, 3]",
02456,,,"[2, 10, 19, 48, 45]",,"[1, 5, 18, 47, 50]",,"[5, 8, 27, 52, 38]",,"[4, 9, 22, 38, 50]",,"[6, 8, 17, 43, 78]",,,,"[12, 12, 32, 29, 40]",,"[12, 19, 18, 32, 38]",,"[17, 17, 20, 46, 27]",,"[10, 19, 23, 27, 42]",,"[17, 14, 26, 36, 55]",,,,"[19, 24, 24, 28, 30]",,"[15, 28, 25, 29, 22]",,"[24, 27, 22, 29, 25]",,"[12, 21, 23, 28, 36]",,"[11, 14, 24, 39, 60]",,,,"[0, 4, 33, 33, 55]",,"[1, 3, 30, 43, 41]",,"[1, 1, 27, 46, 52]",,"[1, 5, 30, 45, 40]",,"[3, 5, 53, 49, 37]",
02458,,,"[0, 0, 6, 8, 5]",,"[2, 5, 11, 9, 4]",,"[1, 3, 3, 5, 4]",,"[0, 1, 6, 2, 3]",,"[0, 0, 1, 4, 4]",,,,"[0, 1, 1, 11, 6]",,"[3, 7, 9, 9, 3]",,"[2, 3, 4, 3, 3]",,"[2, 2, 4, 0, 4]",,"[0, 1, 2, 2, 3]",,,,"[1, 2, 1, 6, 9]",,"[4, 9, 3, 9, 6]",,"[0, 4, 3, 5, 3]",,"[0, 1, 0, 6, 5]",,"[0, 0, 2, 3, 3]",,,,"[0, 1, 12, 5, 1]",,"[0, 2, 19, 8, 2]",,"[0, 2, 6, 4, 3]",,"[0, 1, 9, 1, 1]",,"[0, 0, 5, 3, 0]",
02460,,"[1, 0, 0, 1, 6]",,"[1, 0, 2, 7, 9]",,"[0, 0, 2, 3, 9]",,,,"[0, 2, 2, 12, 24]",,,,"[1, 0, 0, 1, 6]",,"[1, 2, 4, 4, 8]",,"[1, 1, 2, 5, 5]",,,,"[0, 2, 7, 15, 16]",,,,"[0, 1, 2, 2, 3]",,"[1, 2, 4, 4, 8]",,"[0, 4, 1, 5, 4]",,,,"[8, 13, 6, 11, 2]",,,,"[0, 0, 3, 3, 2]",,"[0, 1, 5, 5, 8]",,"[2, 1, 3, 6, 2]",,,,"[1, 1, 12, 20, 6]",,
02461,,,"[0, 0, 1, 15, 27]",,"[1, 1, 4, 5, 12]",,"[0, 1, 4, 11, 7]",,"[0, 1, 0, 3, 2]",,"[0, 0, 1, 9, 22]",,,,"[0, 1, 5, 11, 26]",,"[1, 3, 6, 6, 7]",,"[0, 3, 4, 8, 8]",,"[1, 1, 2, 1, 1]",,"[0, 1, 4, 13, 14]",,,,"[1, 2, 5, 10, 25]",,"[1, 1, 5, 8, 8]",,"[0, 2, 1, 8, 12]",,"[1, 1, 2, 0, 2]",,"[0, 1, 1, 12, 18]",,,,"[0, 6, 28, 8, 1]",,"[1, 4, 13, 3, 2]",,"[0, 9, 10, 2, 2]",,"[0, 3, 2, 1, 0]",,"[0, 8, 10, 9, 5]",
02462,,"[1, 0, 1, 9, 16]",,"[0, 4, 4, 11, 14]",,"[1, 1, 4, 23, 25]",,"[4, 2, 4, 21, 10]",,,"[0, 0, 4, 9, 28]",,,"[0, 2, 4, 9, 12]",,"[3, 4, 5, 12, 8]",,"[2, 3, 15, 19, 15]",,"[7, 6, 9, 13, 6]",,,"[1, 3, 13, 8, 16]",,,"[0, 0, 6, 10, 11]",,"[1, 8, 5, 8, 10]",,"[2, 4, 10, 22, 16]",,"[0, 6, 6, 21, 8]",,,"[1, 0, 10, 16, 14]",,,"[0, 3, 10, 10, 4]",,"[0, 3, 12, 14, 3]",,"[0, 9, 30, 14, 1]",,"[2, 7, 24, 7, 1]",,,"[1, 4, 22, 9, 5]",
