COURSE,F24_LEARNING,F24_MOTIVATION,F24_FEEDBACK,F24_WORKLOAD
02113,"[0, 0, 0, 0, 3]","[0, 0, 0, 1, 2]","[0, 0, 0, 1, 2]","[0, 1, 2, 0, 0]"
02114,,,,
02116,,,,
02118,,,,
02122,"[0, 0, 2, 2, 3]","[0, 0, 1, 2, 4]","[0, 1, 4, 1, 1]","[0, 2, 2, 3, 0]"
02123,,,,
02128,"[0, 0, 0, 3, 2]","[0, 0, 0, 3, 2]","[0, 1, 1, 2, 1]","[0, 2, 1, 2, 0]"
02132,,,,
02135,"[6, 9, 11, 9, 3]","[8, 8, 11, 6, 5]","[3, 6, 7, 16, 5]","[2, 5, 19, 10, 0]"
02138,,,,
02139,"[0, 4, 5, 6, 6]","[0, 2, 7, 7, 5]","[3, 6, 8, 1, 3]","[1, 3, 13, 0, 3]"
02141,"[0, 2, 1, 13, 9]","[4, 5, 2, 8, 6]","[1, 3, 1, 9, 11]","[0, 1, 4, 11, 9]"
02143,,,,
02148,,,,
02155,,,,
02156,,,,
02157,,,,
02158,,,,
02159,,,,
02160,"[0, 0, 2, 5, 4]","[0, 0, 3, 5, 3]","[0, 3, 1, 0, 7]","[1, 2, 3, 5, 0]"
02161,"[5, 10, 7, 10, 2]","[12, 8, 9, 3, 2]","[7, 7, 8, 10, 2]","[3, 4, 19, 8, 0]"
02162,,,,
02170,"[0, 0, 6, 13, 16]","[0, 2, 9, 11, 13]","[0, 3, 5, 10, 17]","[5, 3, 15, 5, 6]"
02180,"[3, 5, 14, 32, 31]","[2, 5, 21, 26, 30]","[3, 14, 28, 17, 22]","[1, 2, 47, 21, 13]"
02182,"[0, 0, 2, 4, 7]","[0, 0, 1, 6, 6]","[0, 0, 1, 6, 6]","[0, 1, 4, 7, 1]"
02191,,,,
02192,"[4, 3, 4, 8, 6]","[4, 2, 5, 6, 7]","[4, 4, 5, 5, 6]","[0, 3, 11, 6, 4]"
02193,"[0, 1, 3, 7, 8]","[1, 2, 4, 5, 7]","[3, 4, 4, 5, 3]","[0, 2, 10, 4, 3]"
02195,"[2, 2, 5, 4, 3]","[3, 4, 3, 5, 1]","[3, 3, 4, 4, 2]","[1, 5, 3, 4, 3]"
02196,"[2, 0, 3, 3, 3]","[1, 0, 5, 0, 4]","[0, 4, 2, 2, 2]","[0, 0, 3, 5, 1]"
02201,,,,
02203,,,,
02204,"[0, 0, 0, 3, 6]","[0, 1, 0, 2, 6]","[0, 0, 1, 4, 4]","[0, 0, 8, 1, 0]"
02205,"[0, 1, 2, 8, 3]","[1, 3, 4, 5, 1]","[0, 0, 4, 6, 4]","[0, 0, 2, 6, 6]"
02209,,,,
02211,,,,
02214,,,,
02223,,,,
02224,"[0, 1, 3, 5, 7]","[0, 1, 3, 5, 7]","[0, 0, 0, 5, 11]","[0, 3, 2, 7, 4]"
02226,,,,
02232,,,,
02233,"[0, 4, 9, 22, 25]","[1, 5, 11, 21, 21]","[5, 13, 14, 15, 13]","[3, 10, 26, 13, 8]"
02234,,,,
02238,"[0, 0, 2, 3, 5]","[0, 0, 2, 1, 6]","[1, 0, 3, 3, 2]","[0, 0, 3, 3, 3]"
02239,,,,
02242,,,,
02244,"[0, 5, 9, 19, 21]","[2, 9, 9, 18, 16]","[0, 2, 8, 24, 19]","[0, 0, 25, 20, 8]"
02245,,,,
02246,,,,
02247,"[0, 0, 5, 8, 27]","[0, 4, 3, 5, 28]","[1, 6, 10, 10, 12]","[0, 2, 18, 11, 8]"
02249,,,,
02255,"[2, 5, 3, 11, 8]","[4, 3, 3, 12, 7]","[3, 2, 5, 12, 7]","[0, 5, 11, 10, 3]"
02256,"[0, 0, 1, 5, 8]","[0, 0, 2, 4, 8]","[0, 0, 1, 3, 10]","[0, 0, 4, 8, 2]"
02257,"[0, 1, 0, 3, 1]","[1, 0, 1, 1, 2]","[2, 1, 2, 0, 0]","[0, 0, 4, 1, 0]"
02258,,,,
02263,,,,
02266,,,,
02267,,,,
02268,,,,
02269,,,,
02282,"[0, 1, 6, 7, 26]","[1, 3, 6, 10, 20]","[1, 2, 4, 13, 20]","[1, 3, 20, 10, 6]"
02285,"[0, 2, 6, 17, 27]","[1, 1, 8, 14, 27]","[2, 3, 13, 13, 20]","[0, 1, 4, 17, 29]"
02287,,,,
02289,,,,
02291,"[20, 32, 26, 29, 16]","[31, 27, 26, 21, 18]","[27, 18, 26, 31, 20]","[3, 7, 56, 26, 30]"
02314,,,,
02316,,,,
02317,,,,
02318,"[2, 0, 1, 1, 1]","[1, 0, 1, 3, 0]","[1, 0, 1, 3, 0]","[1, 0, 1, 1, 1]"
02320,"[0, 1, 0, 0, 1]","[1, 0, 0, 0, 1]","[1, 0, 0, 0, 1]","[0, 0, 0, 2, 0]"
02321,,,,
02322,"[0, 1, 5, 12, 9]","[0, 4, 4, 12, 6]","[2, 4, 9, 9, 1]","[2, 3, 9, 9, 3]"
02323,"[1, 3, 8, 15, 8]","[2, 2, 11, 12, 8]","[4, 1, 7, 22, 1]","[0, 2, 17, 8, 7]"
02324,"[0, 1, 4, 2, 6]","[1, 1, 3, 1, 7]","[3, 3, 3, 2, 2]","[1, 3, 6, 3, 0]"
02326,"[2, 2, 11, 6, 14]","[3, 4, 8, 9, 12]","[7, 4, 13, 5, 6]","[4, 10, 14, 4, 4]"
02327,"[0, 0, 7, 12, 14]","[1, 2, 7, 14, 9]","[0, 7, 6, 13, 7]","[2, 11, 11, 6, 3]"
02332,,,,
02335,,,,
02346,"[3, 6, 4, 8, 3]","[10, 5, 5, 1, 3]","[10, 7, 4, 2, 1]","[0, 2, 10, 8, 3]"
02362,"[0, 0, 1, 1, 1]","[0, 0, 1, 1, 1]","[0, 0, 1, 0, 2]","[0, 0, 2, 1, 0]"
02363,"[0, 0, 3, 4, 7]","[0, 2, 3, 1, 8]","[0, 1, 1, 5, 7]","[0, 3, 6, 2, 3]"
02369,,,,
02393,,,,
02402,"[2, 7, 29, 45, 30]","[8, 16, 29, 34, 25]","[0, 6, 22, 48, 36]","[4, 11, 65, 26, 4]"
02403,"[0, 1, 2, 12, 8]","[3, 1, 4, 9, 5]","[0, 4, 6, 9, 4]","[2, 6, 7, 6, 2]"
02405,,,,
02407,,,,
02409,,,,
02411,"[1, 4, 8, 13, 15]","[5, 4, 10, 13, 8]","[7, 10, 9, 7, 8]","[2, 4, 17, 9, 9]"
02413,,,,
02417,"[1, 9, 19, 21, 12]","[5, 19, 14, 13, 11]","[1, 9, 16, 21, 15]","[0, 4, 31, 16, 11]"
02418,,,,
02421,"[1, 0, 3, 1, 3]","[3, 1, 2, 0, 1]","[3, 0, 2, 2, 0]","[0, 0, 2, 2, 3]"
02424,"[0, 0, 0, 0, 2]","[0, 0, 0, 1, 1]","[0, 0, 0, 0, 2]","[0, 0, 2, 0, 0]"
02425,,,,
02427,,,,
02429,,,,
02431,,,,
02435,"[1, 0, 6, 20, 20]","[2, 1, 7, 23, 14]","[5, 10, 11, 11, 10]","[0, 4, 22, 17, 4]"
02441,,,,
02443,"[0, 2, 3, 11, 7]","[1, 4, 3, 12, 3]","[4, 5, 9, 4, 1]","[0, 4, 7, 7, 6]"
02445,"[2, 2, 6, 5, 6]","[4, 3, 7, 5, 2]","[5, 4, 9, 1, 2]","[0, 2, 13, 6, 0]"
02450,"[4, 2, 15, 39, 66]","[11, 18, 32, 24, 40]","[4, 12, 25, 41, 40]","[3, 2, 45, 42, 31]"
02455,,,,
02456,,,,
02458,,,,
02460,"[0, 2, 2, 12, 24]","[0, 2, 7, 15, 16]","[8, 13, 6, 11, 2]","[1, 1, 12, 20, 6]"
02461,,,,
02462,,,,
02463,"[0, 0, 3, 10, 5]","[0, 0, 5, 11, 2]","[0, 2, 6, 7, 3]","[0, 1, 14, 2, 1]"
02464,,,,
02465,"[0, 3, 3, 8, 15]","[3, 1, 6, 7, 11]","[0, 1, 5, 12, 10]","[0, 0, 1, 11, 16]"
02466,"[0, 0, 1, 5, 26]","[1, 5, 6, 12, 8]","[2, 2, 1, 10, 17]","[0, 3, 13, 12, 4]"
02467,"[0, 0, 1, 2, 6]","[0, 0, 1, 6, 2]","[0, 0, 2, 1, 6]","[1, 0, 5, 3, 0]"
02471,,,,
02476,,,,
02477,"[0, 3, 3, 7, 25]","[1, 3, 5, 13, 13]","[1, 2, 5, 11, 16]","[0, 3, 12, 9, 11]"
02492,,,,
02501,"[0, 1, 0, 8, 12]","[0, 0, 3, 6, 12]","[2, 0, 5, 6, 7]","[0, 0, 10, 8, 2]"
02502,"[1, 3, 1, 13, 27]","[1, 4, 6, 10, 23]","[2, 4, 15, 7, 16]","[3, 3, 26, 5, 7]"
02504,"[0, 3, 7, 8, 6]","[1, 6, 2, 7, 8]","[5, 3, 4, 6, 6]","[0, 5, 8, 8, 2]"
02506,"[0, 2, 2, 1, 5]","[1, 1, 1, 3, 3]","[0, 0, 3, 3, 3]","[0, 1, 3, 4, 1]"
02509,"[0, 0, 1, 0, 2]","[0, 0, 0, 1, 2]","[0, 0, 1, 0, 2]","[0, 0, 2, 1, 0]"
02510,"[1, 0, 0, 2, 1]","[1, 1, 0, 1, 1]","[1, 0, 0, 1, 2]","[0, 0, 1, 2, 1]"
02516,,,,
02525,,,,
02526,"[2, 9, 6, 9, 5]","[5, 7, 7, 5, 6]","[1, 7, 6, 12, 4]","[0, 5, 12, 9, 4]"
02561,,,,
02562,,,,
02563,"[0, 0, 0, 2, 7]","[0, 0, 0, 3, 6]","[0, 0, 0, 3, 6]","[0, 0, 7, 2, 0]"
02566,"[0, 0, 0, 0, 4]","[0, 0, 0, 1, 3]","[1, 0, 1, 0, 2]","[0, 0, 3, 1, 0]"
02580,"[0, 0, 3, 1, 3]","[0, 1, 1, 2, 3]","[0, 0, 0, 0, 7]","[0, 1, 3, 2, 1]"
02582,"[2, 4, 8, 12, 12]","[5, 7, 10, 9, 7]","[12, 7, 11, 7, 0]","[1, 2, 16, 13, 6]"
02586,,,,
02601,"[0, 1, 8, 10, 21]","[0, 1, 14, 11, 15]","[0, 1, 8, 19, 13]","[1, 4, 18, 10, 7]"
02610,,,,
02612,"[1, 7, 5, 8, 5]","[8, 6, 5, 3, 4]","[10, 6, 4, 2, 4]","[0, 1, 14, 6, 5]"
02613,"[0, 0, 3, 19, 16]","[0, 0, 5, 18, 15]","[0, 3, 3, 14, 18]","[1, 7, 23, 6, 1]"
02614,,,,
02616,,,,
02619,,,,
02623,,,,
02624,,,,
02635,,,,
02686,"[0, 2, 2, 1, 1]","[0, 3, 1, 1, 1]","[0, 1, 2, 3, 0]","[0, 1, 3, 2, 0]"
02687,"[0, 0, 1, 5, 3]","[0, 1, 4, 1, 3]","[1, 0, 3, 1, 4]","[0, 0, 6, 2, 1]"
02689,,,,
02805,,,,
02806,"[2, 1, 7, 16, 14]","[2, 2, 2, 11, 23]","[3, 5, 7, 10, 15]","[0, 5, 22, 9, 4]"
02807,,,,
02808,"[1, 1, 0, 5, 2]","[1, 0, 2, 2, 4]","[0, 0, 0, 2, 7]","[0, 0, 4, 2, 3]"
02809,,,,
02830,,,,
02840,,,,
02841,,,,
02901,,,,
02910,,,,
02913,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
02935,,,,
02940,,,,
02941,,,,
02946,,,,
02949,"[0, 2, 3, 6, 1]","[0, 0, 4, 6, 2]","[0, 1, 3, 5, 3]","[0, 2, 6, 4, 0]"
02953,,,,
02955,,,,
02960,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
02975,"[0, 0, 0, 4, 1]","[0, 1, 1, 2, 1]","[0, 0, 1, 4, 0]","[0, 0, 4, 1, 0]"
02979,,,,
02980,,,,
02981,,,,
02982,,,,
02985,,,,
02G01,,,,
02G02,,,,
02G03,,,,
02G04,,,,
02G05,,,,
02G06,,,,
02G07,,,,
02G08,,,,
02G09,,,,
02G10,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
10020,"[2, 7, 14, 19, 11]","[10, 13, 13, 14, 1]","[15, 18, 10, 4, 2]","[3, 8, 24, 10, 5]"
10022,"[1, 3, 9, 18, 17]","[1, 10, 10, 10, 17]","[5, 11, 14, 10, 8]","[3, 8, 22, 7, 8]"
10024,"[2, 1, 6, 19, 15]","[2, 2, 8, 20, 11]","[6, 6, 8, 10, 13]","[5, 7, 23, 7, 1]"
10031,"[0, 0, 0, 17, 29]","[0, 1, 3, 23, 19]","[0, 4, 8, 22, 12]","[0, 1, 26, 12, 7]"
10033,,,,
10034,"[0, 7, 14, 38, 13]","[5, 18, 23, 17, 6]","[22, 19, 15, 10, 3]","[2, 8, 41, 16, 2]"
10035,,,,
10036,,,,
10037,"[0, 1, 1, 21, 45]","[2, 2, 12, 25, 27]","[0, 4, 8, 20, 36]","[1, 5, 40, 18, 4]"
10041,,,,
10050,"[0, 0, 4, 13, 19]","[1, 2, 8, 14, 11]","[1, 6, 17, 9, 3]","[0, 4, 22, 8, 2]"
10054,"[0, 2, 6, 6, 3]","[1, 4, 7, 1, 4]","[2, 4, 7, 0, 4]","[0, 2, 11, 4, 0]"
10060,"[41, 74, 119, 100, 21]","[73, 93, 89, 75, 22]","[57, 121, 104, 51, 18]","[10, 48, 177, 77, 39]"
10063,"[6, 12, 27, 26, 6]","[10, 12, 24, 24, 7]","[8, 20, 15, 27, 6]","[6, 8, 36, 17, 7]"
10065,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 1, 0, 1]"
10080,,,,
10102,"[0, 1, 1, 2, 18]","[2, 0, 3, 12, 5]","[0, 10, 5, 4, 3]","[1, 1, 14, 4, 2]"
10104,"[0, 0, 2, 5, 8]","[1, 2, 3, 5, 4]","[0, 1, 4, 5, 5]","[0, 1, 5, 4, 5]"
10112,,,,
10122,,,,
10200,,,,
10208,,,,
10209,"[0, 0, 0, 2, 1]","[0, 0, 0, 1, 2]","[0, 0, 1, 1, 1]","[0, 0, 2, 1, 0]"
10240,"[1, 0, 5, 14, 15]","[1, 2, 9, 8, 13]","[0, 2, 2, 13, 17]","[1, 4, 14, 8, 7]"
10255,"[0, 0, 0, 1, 2]","[0, 1, 0, 1, 1]","[0, 0, 0, 1, 2]","[0, 0, 1, 1, 1]"
10260,"[0, 0, 3, 7, 9]","[1, 1, 6, 7, 3]","[1, 2, 2, 11, 2]","[0, 0, 6, 10, 2]"
10302,"[0, 0, 0, 2, 12]","[0, 0, 1, 5, 8]","[0, 2, 3, 6, 3]","[0, 1, 11, 2, 0]"
10303,"[0, 0, 0, 2, 7]","[0, 0, 0, 6, 3]","[0, 1, 3, 3, 2]","[0, 2, 6, 1, 0]"
10304,"[1, 0, 1, 3, 7]","[1, 1, 2, 3, 5]","[0, 6, 3, 0, 3]","[0, 3, 2, 5, 2]"
10306,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
10314,"[0, 0, 1, 1, 5]","[0, 1, 0, 5, 0]","[0, 3, 2, 1, 0]","[0, 1, 5, 0, 0]"
10315,"[0, 0, 0, 1, 1]","[0, 0, 1, 1, 0]","[0, 1, 1, 0, 0]","[0, 0, 1, 1, 0]"
10316,,,,
10317,,,,
10318,,,,
10321,,,,
10325,,,,
10326,,,,
10331,,,,
10333,,,,
10337,,,,
10339,,,,
10346,"[0, 0, 0, 1, 16]","[1, 0, 4, 4, 8]","[0, 2, 1, 7, 7]","[0, 0, 8, 7, 2]"
10350,"[0, 0, 0, 4, 30]","[0, 0, 5, 7, 22]","[0, 1, 5, 11, 17]","[1, 1, 27, 4, 1]"
10380,"[0, 1, 0, 0, 10]","[1, 0, 0, 4, 6]","[1, 2, 3, 3, 2]","[0, 0, 5, 5, 1]"
10384,,,,
10385,"[0, 2, 3, 11, 8]","[0, 4, 5, 10, 5]","[3, 2, 4, 9, 6]","[0, 5, 10, 2, 7]"
10386,"[0, 0, 0, 1, 4]","[0, 1, 0, 3, 1]","[1, 1, 0, 0, 3]","[0, 0, 5, 0, 0]"
10387,"[0, 0, 1, 3, 3]","[0, 0, 0, 3, 4]","[0, 0, 2, 0, 5]","[0, 1, 5, 0, 1]"
10400,,,,
10401,"[0, 0, 1, 4, 5]","[0, 0, 1, 5, 4]","[0, 0, 2, 5, 3]","[0, 3, 4, 3, 0]"
10402,"[0, 0, 0, 0, 5]","[0, 0, 0, 0, 5]","[0, 1, 0, 1, 3]","[0, 2, 2, 1, 0]"
10405,,,,
10411,"[0, 2, 4, 6, 8]","[2, 3, 4, 4, 6]","[1, 3, 6, 4, 5]","[0, 3, 10, 5, 1]"
10413,"[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]"
10420,"[0, 0, 1, 4, 5]","[0, 0, 1, 1, 6]","[0, 0, 1, 3, 5]","[0, 5, 2, 1, 1]"
10506,,,,
10507,"[0, 0, 1, 0, 4]","[0, 0, 1, 0, 3]","[1, 0, 0, 1, 2]","[0, 0, 3, 0, 1]"
10508,,,,
10509,,,,
10511,,,,
10512,,,,
10514,,,,
10515,,,,
10519,,,,
10520,,,,
10521,"[0, 0, 0, 2, 5]","[0, 0, 0, 3, 4]","[0, 0, 0, 1, 6]","[0, 0, 5, 2, 0]"
10530,,,,
10540,,,,
10550,,,,
10590,,,,
10603,"[0, 0, 0, 0, 2]","[0, 0, 0, 1, 1]","[0, 0, 0, 1, 1]","[0, 0, 0, 0, 2]"
10605,,,,
10610,,,,
10720,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
10721,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
10722,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]"
10730,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
10731,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
10732,,,,
10750,,,,
10850,"[0, 0, 0, 3, 0]","[0, 1, 1, 1, 0]","[1, 1, 0, 1, 0]","[0, 0, 3, 0, 0]"
10851,,,,
10852,"[0, 0, 0, 1, 3]","[0, 0, 0, 2, 2]","[0, 0, 0, 1, 2]","[0, 2, 2, 0, 0]"
10855,,,,
10862,"[0, 0, 0, 2, 6]","[0, 0, 0, 2, 6]","[0, 2, 1, 1, 4]","[0, 0, 6, 2, 0]"
10870,,,,
10871,"[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 1, 0, 3]","[0, 0, 1, 2, 1]"
10916,,,,
10935,,,,
12000,,,,
12003,"[0, 1, 2, 4, 22]","[0, 0, 1, 6, 22]","[0, 1, 12, 8, 8]","[1, 1, 11, 11, 5]"
12100,"[9, 16, 21, 20, 6]","[15, 20, 20, 14, 2]","[6, 6, 19, 29, 11]","[4, 8, 41, 10, 8]"
12102,,,,
12104,,,,
12109,,,,
12110,"[0, 1, 2, 9, 2]","[1, 3, 2, 6, 1]","[1, 1, 5, 6, 0]","[0, 1, 2, 4, 6]"
12111,,,,
12121,"[0, 0, 0, 5, 10]","[0, 0, 2, 5, 7]","[0, 0, 1, 6, 7]","[0, 1, 10, 3, 0]"
12122,,,,
12124,,,,
12130,,,,
12132,,,,
12134,,,,
12139,,,,
12143,"[0, 1, 3, 17, 32]","[2, 0, 6, 19, 26]","[1, 1, 2, 12, 37]","[0, 3, 33, 12, 5]"
12145,,,,
12202,"[1, 2, 5, 20, 18]","[1, 6, 8, 21, 10]","[0, 3, 7, 15, 21]","[2, 7, 25, 8, 4]"
12203,"[0, 0, 0, 0, 9]","[0, 0, 3, 1, 5]","[0, 0, 0, 2, 7]","[0, 0, 6, 3, 0]"
12205,"[0, 9, 12, 28, 21]","[7, 11, 19, 20, 10]","[6, 11, 12, 21, 17]","[2, 9, 30, 18, 8]"
12211,"[0, 0, 0, 5, 4]","[0, 0, 3, 1, 5]","[0, 0, 1, 5, 3]","[0, 0, 6, 2, 1]"
12227,"[1, 3, 3, 10, 7]","[1, 4, 5, 9, 5]","[1, 2, 6, 13, 2]","[3, 4, 13, 3, 1]"
12228,,,,
12231,"[0, 0, 1, 4, 6]","[0, 0, 0, 4, 7]","[0, 0, 1, 1, 9]","[1, 3, 7, 0, 0]"
12237,"[1, 0, 3, 10, 29]","[1, 0, 4, 18, 20]","[2, 4, 14, 11, 12]","[1, 11, 24, 4, 3]"
12238,"[0, 0, 0, 3, 15]","[0, 0, 0, 6, 12]","[1, 3, 3, 4, 7]","[0, 4, 11, 2, 1]"
12240,,,,
12245,,,,
12250,,,,
12320,"[0, 0, 1, 5, 6]","[0, 2, 2, 5, 3]","[0, 0, 1, 6, 5]","[0, 0, 3, 8, 1]"
12330,"[0, 0, 0, 1, 16]","[0, 0, 1, 5, 11]","[0, 0, 2, 4, 11]","[0, 1, 11, 4, 1]"
12331,"[0, 0, 0, 1, 8]","[0, 0, 0, 0, 9]","[0, 0, 1, 3, 5]","[0, 2, 6, 1, 0]"
12336,,,,
12345,"[0, 0, 0, 6, 8]","[0, 1, 2, 5, 6]","[0, 2, 0, 2, 10]","[0, 0, 0, 7, 7]"
12350,,,,
12360,"[0, 2, 4, 8, 18]","[0, 1, 4, 7, 20]","[0, 2, 6, 11, 13]","[1, 7, 15, 6, 3]"
12361,,,,
12362,,,,
12363,"[0, 0, 0, 2, 6]","[0, 0, 1, 3, 5]","[0, 0, 1, 4, 4]","[0, 0, 5, 2, 2]"
12410,,,,
12411,"[5, 13, 11, 7, 2]","[17, 3, 9, 7, 1]","[12, 10, 10, 3, 2]","[2, 7, 20, 7, 1]"
12412,,,,
12415,"[0, 0, 0, 5, 4]","[0, 1, 2, 5, 1]","[1, 3, 2, 1, 2]","[0, 2, 5, 2, 0]"
12421,,,,
12422,"[3, 8, 9, 9, 4]","[7, 10, 10, 3, 2]","[15, 8, 1, 6, 2]","[0, 0, 13, 12, 7]"
12423,,,,
12430,,,,
12431,,,,
12432,,,,
12451,,,,
12452,"[0, 1, 2, 3, 7]","[2, 2, 4, 2, 3]","[1, 2, 5, 2, 3]","[0, 1, 5, 2, 5]"
12550,,,,
12551,"[11, 17, 33, 32, 20]","[30, 17, 27, 25, 13]","[49, 16, 24, 11, 10]","[1, 15, 44, 33, 17]"
12552,"[0, 2, 2, 6, 5]","[1, 2, 1, 7, 4]","[3, 2, 4, 3, 3]","[0, 0, 8, 3, 4]"
12601,,,,
12603,"[1, 2, 5, 14, 19]","[1, 3, 11, 13, 12]","[2, 9, 7, 12, 10]","[0, 2, 19, 14, 5]"
12604,"[0, 1, 0, 11, 6]","[0, 0, 6, 8, 4]","[9, 7, 2, 0, 0]","[0, 0, 3, 9, 6]"
12605,,,,
12611,,,,
12612,"[0, 1, 4, 13, 5]","[1, 4, 6, 7, 4]","[5, 7, 3, 6, 1]","[0, 5, 9, 6, 2]"
12614,"[0, 0, 2, 8, 15]","[0, 1, 6, 10, 8]","[2, 6, 5, 8, 4]","[0, 5, 13, 6, 1]"
12701,,,,
12772,,,,
12773,"[0, 4, 16, 16, 23]","[5, 10, 11, 18, 15]","[2, 10, 6, 22, 19]","[0, 0, 14, 20, 25]"
12774,,,,
12821,,,,
12831,,,,
12832,,,,
12836,"[1, 2, 2, 4, 1]","[1, 2, 2, 4, 1]","[0, 1, 3, 5, 1]","[1, 0, 6, 2, 1]"
12854,"[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 2, 2, 0]"
12859,"[1, 1, 8, 14, 2]","[1, 5, 13, 7, 0]","[0, 7, 4, 11, 4]","[0, 3, 16, 6, 1]"
12902,,,,
12911,"[0, 1, 0, 3, 3]","[0, 1, 0, 4, 2]","[0, 1, 2, 2, 2]","[0, 0, 6, 0, 0]"
12919,,,,
12920,,,,
12936,,,,
