COURSE,F25_GRADE_12,F25_GRADE_10,F25_GRADE_7,F25_GRADE_4,F25_GRADE_02,F25_GRADE_00,F25_GRADE_MINUS_3,F25_PASSED,F25_FAILED,F25_ABSENT
25353,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25354,1,2,2,0,0,0,0,No data,No data,No data
25355,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25616,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25619,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25621,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25801,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25809,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25811,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25812,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25813,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25820,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25821,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25822,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25823,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25824,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25825,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25826,No data,No data,No data,No data,No data,No data,No data,5,0,1
25827,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25829,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25830,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25831,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25832,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25833,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25834,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
25835,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26001,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26002,No data,No data,No data,No data,No data,No data,No data,15,0,No data
26003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26008,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26010,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
26020,2,0,1,3,9,4,1,No data,No data,2
26021,25,39,57,60,40,43,4,No data,No data,14
26022,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
