COURSE,E26_GRADE_12,E26_GRADE_10,E26_GRADE_7,E26_GRADE_4,E26_GRADE_02,E26_GRADE_00,E26_GRADE_MINUS_3,E26_PASSED,E26_FAILED,E26_ABSENT
22125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22126,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22140,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22145,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22150,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22160,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22166,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22168,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22170,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22172,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22175,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22180,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22181,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22201,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22203,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
