COURSE,E25_LEARNING,E25_MOTIVATION,E25_FEEDBACK,E25_WORKLOAD
02225,,,,
02226,"[2, 3, 10, 22, 7]","[4, 5, 8, 17, 10]","[5, 6, 14, 12, 6]","[3, 9, 18, 8, 5]"
02231,"[1, 1, 2, 14, 18]","[1, 5, 7, 11, 12]","[1, 1, 4, 13, 17]","[1, 2, 13, 13, 7]"
02232,"[0, 1, 0, 5, 12]","[0, 0, 1, 8, 9]","[0, 0, 3, 6, 9]","[0, 4, 9, 4, 1]"
02234,"[2, 1, 4, 6, 8]","[1, 2, 5, 5, 6]","[1, 0, 2, 8, 8]","[1, 0, 9, 5, 4]"
02242,"[6, 5, 11, 16, 5]","[13, 9, 10, 8, 4]","[3, 7, 12, 13, 9]","[1, 3, 16, 10, 13]"
02244,,,,
02245,"[0, 1, 1, 5, 15]","[2, 1, 4, 6, 9]","[0, 0, 1, 7, 14]","[0, 0, 2, 7, 13]"
02246,"[0, 1, 1, 11, 15]","[0, 1, 2, 12, 12]","[0, 2, 3, 6, 16]","[0, 2, 16, 5, 4]"
02247,,,,
02249,"[0, 2, 2, 15, 18]","[0, 1, 6, 15, 14]","[0, 1, 1, 11, 22]","[0, 4, 13, 7, 12]"
02256,,,,
02258,"[2, 4, 4, 7, 7]","[5, 3, 6, 8, 2]","[9, 8, 4, 2, 1]","[0, 3, 9, 8, 4]"
02262,,,,
02266,"[3, 4, 3, 14, 19]","[3, 2, 5, 14, 19]","[0, 0, 6, 6, 30]","[2, 2, 16, 13, 10]"
02267,"[0, 3, 1, 6, 10]","[2, 2, 2, 5, 8]","[1, 0, 3, 7, 8]","[1, 2, 5, 5, 6]"
02268,"[13, 7, 10, 18, 4]","[20, 7, 8, 11, 6]","[8, 7, 9, 17, 11]","[2, 8, 21, 9, 11]"
02269,"[3, 2, 6, 20, 17]","[3, 4, 7, 16, 17]","[1, 5, 7, 15, 17]","[1, 0, 19, 17, 9]"
02270,"[7, 16, 20, 35, 23]","[17, 17, 19, 27, 19]","[21, 12, 29, 22, 15]","[7, 24, 39, 24, 5]"
02271,,,,
02275,"[1, 5, 1, 10, 22]","[2, 4, 6, 7, 20]","[9, 9, 7, 3, 11]","[2, 1, 22, 8, 6]"
02276,,,,
02277,,,,
02278,,,,
02282,,,,
02285,,,,
02287,"[1, 0, 6, 11, 16]","[1, 3, 8, 7, 14]","[1, 1, 3, 13, 14]","[0, 3, 14, 13, 3]"
02289,"[0, 0, 0, 5, 14]","[0, 2, 3, 6, 7]","[2, 1, 3, 8, 4]","[1, 0, 2, 5, 10]"
02291,,,,
02311,"[0, 0, 3, 4, 0]","[0, 2, 1, 2, 2]","[0, 1, 3, 3, 0]","[1, 2, 1, 1, 2]"
02312,"[1, 1, 6, 24, 45]","[0, 6, 5, 22, 44]","[1, 4, 12, 25, 35]","[2, 3, 28, 25, 19]"
02321,"[0, 0, 2, 3, 2]","[0, 0, 2, 2, 3]","[0, 1, 3, 2, 1]","[0, 0, 4, 3, 0]"
02322,,,,
02323,"[5, 4, 6, 14, 8]","[8, 5, 9, 8, 6]","[4, 3, 8, 14, 7]","[1, 0, 12, 13, 10]"
02324,,,,
02325,,,,
