COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,E22_LEARNING,F23_LEARNING,E23_LEARNING,F24_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,E22_MOTIVATION,F23_MOTIVATION,E23_MOTIVATION,F24_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,E22_FEEDBACK,F23_FEEDBACK,E23_FEEDBACK,F24_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD,E22_WORKLOAD,F23_WORKLOAD,E23_WORKLOAD,F24_WORKLOAD
02405,,,,"[3, 9, 12, 15, 16]",,"[0, 5, 5, 17, 23]",,"[0, 2, 5, 19, 21]",,"[1, 1, 5, 12, 19]",,"[0, 3, 4, 8, 18]",,,,,"[9, 11, 15, 17, 3]",,"[2, 5, 13, 21, 9]",,"[1, 6, 13, 11, 16]",,"[1, 7, 5, 13, 12]",,"[0, 2, 7, 9, 14]",,,,,"[0, 8, 11, 23, 13]",,"[2, 2, 6, 25, 15]",,"[1, 4, 4, 22, 16]",,"[1, 2, 8, 11, 16]",,"[0, 1, 0, 14, 17]",,,,,"[0, 4, 23, 9, 19]",,"[0, 2, 11, 24, 13]",,"[2, 2, 10, 17, 16]",,"[0, 5, 14, 11, 8]",,"[0, 1, 11, 17, 3]",
02407,,,,"[3, 1, 1, 5, 15]",,"[0, 0, 0, 1, 6]",,"[2, 0, 2, 3, 7]",,"[1, 2, 5, 6, 6]",,"[1, 1, 1, 9, 2]",,,,,"[3, 2, 1, 6, 13]",,"[0, 0, 0, 2, 5]",,"[3, 3, 1, 3, 4]",,"[0, 2, 8, 6, 4]",,"[1, 3, 0, 8, 1]",,,,,"[5, 7, 5, 2, 6]",,"[0, 1, 1, 2, 3]",,"[6, 3, 1, 1, 3]",,"[6, 4, 4, 3, 3]",,"[4, 2, 3, 3, 1]",,,,,"[1, 2, 9, 10, 3]",,"[0, 0, 5, 1, 1]",,"[3, 0, 2, 8, 1]",,"[0, 2, 5, 9, 3]",,"[0, 1, 4, 5, 3]",
02409,,,,"[2, 11, 12, 14, 6]",,"[0, 3, 8, 16, 14]",,"[3, 6, 9, 15, 7]",,"[0, 3, 5, 14, 11]",,"[6, 4, 11, 14, 10]",,,,,"[4, 14, 15, 9, 3]",,"[4, 6, 13, 10, 9]",,"[6, 12, 8, 6, 6]",,"[1, 7, 5, 9, 11]",,"[11, 7, 7, 13, 6]",,,,,"[15, 12, 10, 5, 3]",,"[8, 14, 7, 8, 3]",,"[14, 11, 6, 3, 4]",,"[7, 8, 11, 3, 3]",,"[12, 14, 9, 6, 4]",,,,,"[4, 13, 22, 6, 0]",,"[0, 5, 25, 7, 5]",,"[1, 4, 22, 6, 5]",,"[1, 3, 18, 11, 0]",,"[3, 10, 26, 5, 1]",
02411,,,,"[0, 2, 10, 4, 15]","[2, 6, 9, 20, 7]","[0, 0, 10, 15, 13]","[0, 6, 7, 13, 12]","[1, 0, 6, 18, 16]","[1, 1, 15, 15, 23]","[1, 4, 11, 19, 12]","[2, 5, 14, 19, 15]","[0, 2, 6, 16, 11]","[1, 4, 8, 13, 15]",,,,"[4, 3, 6, 9, 9]","[5, 9, 9, 18, 3]","[1, 3, 13, 13, 8]","[1, 6, 11, 9, 11]","[1, 6, 11, 12, 10]","[4, 6, 10, 17, 16]","[4, 6, 14, 15, 8]","[10, 8, 12, 14, 11]","[0, 3, 8, 17, 6]","[5, 4, 10, 13, 8]",,,,"[1, 7, 12, 5, 5]","[8, 15, 12, 5, 3]","[10, 8, 12, 5, 3]","[11, 7, 10, 4, 6]","[4, 8, 17, 6, 5]","[5, 7, 23, 11, 7]","[9, 10, 20, 5, 3]","[15, 8, 12, 11, 9]","[4, 6, 10, 10, 4]","[7, 10, 9, 7, 8]",,,,"[0, 4, 22, 3, 2]","[2, 4, 21, 16, 1]","[0, 6, 25, 6, 1]","[1, 7, 14, 12, 2]","[0, 8, 22, 7, 3]","[1, 4, 33, 11, 4]","[2, 6, 30, 6, 3]","[3, 7, 27, 13, 5]","[1, 3, 14, 12, 4]","[2, 4, 17, 9, 9]"
02413,,,,"[0, 2, 0, 3, 2]",,"[0, 0, 1, 2, 4]",,"[0, 0, 2, 1, 7]",,"[0, 0, 0, 3, 10]",,"[0, 0, 0, 0, 8]",,,,,"[1, 2, 0, 2, 2]",,"[0, 1, 0, 3, 3]",,"[0, 1, 2, 4, 3]",,"[0, 0, 2, 5, 6]",,"[0, 0, 1, 1, 6]",,,,,"[1, 1, 0, 2, 3]",,"[0, 0, 0, 6, 1]",,"[0, 2, 2, 3, 3]",,"[0, 1, 2, 8, 2]",,"[0, 0, 2, 0, 6]",,,,,"[1, 0, 4, 1, 1]",,"[0, 2, 3, 0, 2]",,"[0, 2, 3, 2, 3]",,"[0, 3, 7, 3, 0]",,"[0, 0, 6, 2, 0]",
02417,,,,"[0, 0, 3, 12, 11]","[1, 2, 5, 9, 18]","[1, 1, 2, 9, 20]",,"[0, 0, 9, 13, 23]","[0, 3, 2, 16, 31]",,"[3, 6, 10, 21, 31]",,"[1, 9, 19, 21, 12]",,,,"[1, 4, 2, 9, 10]","[1, 8, 8, 11, 6]","[2, 4, 3, 9, 15]",,"[3, 10, 6, 13, 13]","[0, 6, 6, 18, 22]",,"[12, 7, 13, 18, 21]",,"[5, 19, 14, 13, 11]",,,,"[0, 2, 6, 3, 15]","[3, 3, 6, 12, 10]","[1, 2, 3, 11, 16]",,"[0, 7, 8, 12, 18]","[1, 3, 8, 17, 23]",,"[3, 7, 13, 27, 21]",,"[1, 9, 16, 21, 15]",,,,"[0, 0, 5, 7, 14]","[1, 2, 7, 8, 16]","[0, 2, 2, 13, 16]",,"[0, 5, 5, 20, 15]","[0, 2, 16, 20, 14]",,"[1, 1, 12, 19, 37]",,"[0, 4, 31, 16, 11]"
02418,,,,"[1, 1, 1, 7, 13]",,"[2, 6, 5, 9, 10]",,"[0, 0, 3, 8, 9]",,"[0, 0, 0, 4, 9]",,"[0, 1, 1, 3, 3]",,,,,"[1, 4, 6, 4, 8]",,"[5, 11, 8, 5, 3]",,"[1, 5, 5, 5, 4]",,"[0, 0, 4, 3, 6]",,"[1, 2, 3, 1, 1]",,,,,"[3, 4, 2, 6, 8]",,"[4, 12, 7, 8, 1]",,"[5, 2, 3, 6, 4]",,"[1, 6, 2, 3, 1]",,"[1, 3, 2, 1, 1]",,,,,"[0, 1, 12, 7, 3]",,"[0, 1, 2, 14, 15]",,"[0, 2, 3, 6, 9]",,"[0, 0, 3, 2, 8]",,"[0, 0, 3, 2, 3]",
02421,,,,,"[1, 6, 1, 2, 1]",,"[5, 3, 5, 5, 3]",,"[0, 3, 2, 1, 1]",,"[0, 0, 0, 2, 3]",,"[1, 0, 3, 1, 3]",,,,,"[4, 4, 2, 0, 1]",,"[7, 5, 5, 3, 1]",,"[2, 2, 0, 2, 1]",,"[0, 0, 1, 3, 1]",,"[3, 1, 2, 0, 1]",,,,,"[5, 4, 1, 0, 1]",,"[6, 3, 6, 2, 4]",,"[1, 2, 2, 2, 0]",,"[1, 2, 2, 0, 0]",,"[3, 0, 2, 2, 0]",,,,,"[0, 1, 6, 2, 2]",,"[1, 0, 7, 5, 8]",,"[0, 0, 1, 4, 2]",,"[0, 0, 0, 1, 4]",,"[0, 0, 2, 2, 3]"
02424,,,,,"[0, 0, 1, 4, 5]",,"[0, 0, 2, 4, 4]",,"[0, 2, 2, 3, 4]",,"[0, 1, 0, 4, 4]",,"[0, 0, 0, 0, 2]",,,,,"[0, 1, 3, 4, 2]",,"[1, 3, 0, 3, 3]",,"[1, 2, 2, 4, 2]",,"[1, 0, 2, 3, 3]",,"[0, 0, 0, 1, 1]",,,,,"[0, 1, 2, 5, 2]",,"[0, 0, 1, 5, 4]",,"[0, 0, 5, 4, 2]",,"[0, 0, 1, 5, 3]",,"[0, 0, 0, 0, 2]",,,,,"[0, 1, 4, 5, 0]",,"[0, 0, 6, 3, 2]",,"[0, 0, 4, 5, 2]",,"[0, 0, 2, 5, 2]",,"[0, 0, 2, 0, 0]"
02425,,,,"[0, 0, 1, 1, 4]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 2, 7]",,"[0, 0, 0, 0, 8]",,"[0, 0, 0, 1, 5]",,,,,"[0, 0, 1, 1, 4]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 9]",,"[0, 0, 0, 5, 3]",,"[0, 0, 1, 1, 4]",,,,,"[0, 0, 1, 1, 4]",,"[0, 0, 0, 0, 2]",,"[1, 2, 1, 2, 3]",,"[2, 1, 1, 1, 3]",,"[0, 2, 0, 0, 3]",,,,,"[0, 1, 2, 3, 0]",,"[0, 0, 1, 1, 0]",,"[0, 1, 7, 1, 0]",,"[0, 1, 3, 2, 2]",,"[0, 0, 4, 1, 1]",
02427,,,,"[0, 0, 0, 2, 0]",,"[0, 0, 0, 2, 3]",,"[1, 1, 0, 1, 4]",,"[0, 0, 0, 0, 3]",,"[0, 0, 1, 3, 4]",,,,,"[0, 1, 1, 0, 0]",,"[0, 1, 1, 0, 3]",,"[1, 0, 1, 1, 4]",,"[0, 0, 0, 0, 3]",,"[0, 1, 3, 4, 0]",,,,,"[0, 1, 0, 1, 0]",,"[0, 0, 1, 0, 4]",,"[1, 1, 0, 1, 4]",,"[1, 0, 0, 1, 1]",,"[0, 1, 1, 5, 1]",,,,,"[0, 0, 2, 0, 0]",,"[0, 0, 3, 2, 0]",,"[1, 3, 3, 0, 0]",,"[0, 0, 1, 1, 1]",,"[0, 3, 3, 2, 0]",
02429,,,,"[0, 1, 4, 2, 5]",,"[0, 2, 1, 4, 3]",,"[1, 0, 3, 4, 4]",,"[0, 0, 0, 1, 1]",,"[2, 1, 1, 5, 2]",,,,,"[0, 2, 4, 3, 3]",,"[0, 2, 1, 4, 3]",,"[1, 2, 1, 3, 5]",,"[0, 0, 0, 1, 1]",,"[2, 2, 2, 4, 1]",,,,,"[0, 0, 1, 1, 10]",,"[1, 2, 0, 6, 1]",,"[0, 1, 0, 1, 10]",,"[0, 0, 0, 2, 0]",,"[0, 0, 2, 3, 6]",,,,,"[1, 1, 6, 4, 0]",,"[0, 3, 3, 3, 1]",,"[0, 1, 4, 4, 3]",,"[0, 0, 0, 1, 1]",,"[1, 2, 4, 2, 2]",
02431,,,,"[2, 5, 4, 13, 11]",,"[0, 1, 5, 16, 12]","[2, 2, 1, 12, 8]","[2, 1, 4, 15, 10]",,"[0, 1, 4, 8, 5]",,"[0, 1, 4, 6, 15]",,,,,"[3, 4, 6, 13, 9]",,"[0, 5, 3, 12, 13]","[2, 1, 3, 9, 10]","[5, 3, 5, 10, 9]",,"[4, 2, 5, 6, 1]",,"[1, 3, 6, 6, 10]",,,,,"[5, 6, 11, 9, 4]",,"[7, 9, 6, 6, 6]","[3, 3, 6, 4, 9]","[2, 4, 11, 9, 6]",,"[2, 4, 4, 7, 1]",,"[1, 11, 2, 6, 6]",,,,,"[2, 5, 23, 4, 1]",,"[0, 3, 26, 4, 1]","[0, 3, 19, 2, 1]","[3, 2, 18, 8, 1]",,"[0, 5, 12, 1, 0]",,"[0, 3, 15, 5, 3]",
02435,,,,,"[0, 0, 0, 7, 16]",,"[0, 0, 1, 5, 13]",,"[0, 1, 0, 16, 15]",,"[0, 0, 5, 5, 13]",,"[1, 0, 6, 20, 20]",,,,,"[0, 1, 3, 6, 13]",,"[0, 1, 4, 5, 9]",,"[0, 1, 3, 15, 13]",,"[0, 1, 6, 8, 8]",,"[2, 1, 7, 23, 14]",,,,,"[0, 0, 1, 4, 18]",,"[0, 0, 2, 5, 12]",,"[0, 3, 11, 12, 6]",,"[1, 5, 6, 5, 5]",,"[5, 10, 11, 11, 10]",,,,,"[0, 2, 10, 8, 3]",,"[0, 3, 6, 6, 4]",,"[2, 6, 12, 7, 5]",,"[0, 3, 11, 6, 2]",,"[0, 4, 22, 17, 4]"
02441,,,,"[1, 0, 1, 7, 13]",,"[0, 0, 4, 3, 13]",,"[1, 2, 6, 10, 13]",,"[1, 0, 3, 6, 11]",,"[0, 0, 2, 0, 6]",,,,,"[0, 0, 2, 8, 12]",,"[0, 1, 2, 5, 11]",,"[1, 3, 8, 11, 8]",,"[1, 2, 3, 5, 9]",,"[0, 1, 0, 3, 4]",,,,,"[0, 1, 3, 5, 13]",,"[0, 0, 3, 4, 13]",,"[4, 3, 5, 8, 11]",,"[1, 1, 2, 4, 12]",,"[1, 0, 0, 3, 4]",,,,,"[0, 4, 8, 6, 4]",,"[0, 1, 8, 6, 5]",,"[0, 1, 7, 14, 9]",,"[0, 1, 6, 5, 8]",,"[0, 1, 3, 2, 2]",
02443,,,,,"[0, 1, 8, 12, 13]",,"[1, 5, 8, 27, 17]",,"[0, 1, 2, 5, 13]",,"[1, 3, 2, 11, 8]",,,,,,,"[2, 4, 7, 12, 9]",,"[7, 10, 7, 19, 15]",,"[0, 1, 1, 9, 10]",,"[3, 2, 8, 6, 6]",,,,,,,"[3, 4, 7, 10, 10]",,"[5, 9, 11, 21, 11]",,"[0, 0, 5, 5, 11]",,"[3, 2, 7, 7, 6]",,,,,,,"[1, 3, 11, 10, 9]",,"[0, 3, 18, 15, 20]",,"[0, 2, 10, 6, 3]",,"[1, 0, 10, 7, 7]",,
02445,,,,"[0, 5, 3, 0, 1]",,"[5, 4, 6, 1, 1]",,"[7, 8, 5, 9, 2]",,"[3, 4, 6, 9, 2]",,"[3, 3, 1, 6, 0]",,,,,"[2, 2, 1, 3, 1]",,"[3, 9, 3, 1, 1]",,"[10, 7, 6, 5, 3]",,"[3, 6, 4, 7, 4]",,"[2, 4, 1, 6, 0]",,,,,"[1, 3, 2, 1, 2]",,"[3, 8, 3, 1, 2]",,"[8, 9, 7, 5, 2]",,"[6, 8, 5, 3, 2]",,"[2, 5, 2, 4, 0]",,,,,"[0, 1, 6, 2, 0]",,"[0, 3, 8, 4, 1]",,"[0, 3, 12, 14, 1]",,"[1, 3, 12, 6, 2]",,"[1, 6, 3, 3, 0]",
02450,,,,"[4, 30, 40, 80, 82]","[2, 8, 22, 58, 79]","[5, 13, 31, 97, 95]","[5, 14, 17, 49, 45]","[4, 17, 29, 90, 83]","[5, 11, 26, 53, 74]","[2, 4, 20, 55, 62]","[0, 6, 10, 35, 46]","[10, 16, 39, 76, 71]","[4, 2, 15, 39, 66]",,,,"[33, 47, 43, 69, 43]","[11, 22, 35, 51, 49]","[21, 35, 51, 80, 54]","[15, 26, 27, 39, 23]","[23, 36, 46, 72, 44]","[10, 27, 28, 58, 45]","[6, 19, 29, 45, 40]","[2, 16, 15, 36, 26]","[27, 36, 37, 73, 37]","[11, 18, 32, 24, 40]",,,,"[11, 41, 52, 78, 54]","[5, 17, 36, 59, 52]","[7, 23, 67, 86, 58]","[9, 17, 43, 43, 19]","[8, 29, 52, 92, 40]","[8, 18, 44, 63, 35]","[6, 14, 29, 55, 36]","[0, 3, 25, 37, 30]","[7, 39, 50, 76, 37]","[4, 12, 25, 41, 40]",,,,"[2, 15, 69, 87, 63]","[0, 8, 64, 71, 26]","[2, 12, 94, 85, 48]","[2, 10, 44, 39, 35]","[5, 14, 73, 77, 51]","[3, 5, 45, 65, 49]","[2, 8, 48, 51, 31]","[0, 1, 26, 44, 24]","[3, 8, 68, 69, 59]","[3, 2, 45, 42, 31]"
02455,,,,"[0, 0, 0, 7, 4]",,"[0, 0, 2, 6, 7]",,,,"[0, 2, 4, 10, 8]",,"[0, 0, 3, 13, 17]",,,,,"[0, 0, 2, 2, 7]",,"[0, 0, 0, 8, 7]",,,,"[0, 0, 5, 8, 11]",,"[0, 0, 2, 11, 20]",,,,,"[0, 0, 2, 3, 6]",,"[0, 0, 1, 1, 13]",,,,"[0, 0, 1, 2, 21]",,"[0, 0, 0, 4, 28]",,,,,"[0, 1, 9, 1, 0]",,"[0, 0, 5, 7, 3]",,,,"[2, 5, 9, 7, 1]",,"[0, 2, 14, 9, 7]",
02456,,,,"[0, 5, 14, 33, 40]",,"[2, 10, 19, 48, 45]",,"[1, 5, 18, 47, 50]",,"[5, 8, 27, 52, 38]",,"[4, 9, 22, 38, 50]",,,,,"[9, 14, 21, 19, 29]",,"[12, 12, 32, 29, 40]",,"[12, 19, 18, 32, 38]",,"[17, 17, 20, 46, 27]",,"[10, 19, 23, 27, 42]",,,,,"[18, 18, 18, 20, 17]",,"[19, 24, 24, 28, 30]",,"[15, 28, 25, 29, 22]",,"[24, 27, 22, 29, 25]",,"[12, 21, 23, 28, 36]",,,,,"[0, 1, 27, 29, 35]",,"[0, 4, 33, 33, 55]",,"[1, 3, 30, 43, 41]",,"[1, 1, 27, 46, 52]",,"[1, 5, 30, 45, 40]",
02458,,,,"[1, 2, 1, 5, 2]",,"[0, 0, 6, 8, 5]",,"[2, 5, 11, 9, 4]",,"[1, 3, 3, 5, 4]",,"[0, 1, 6, 2, 3]",,,,,"[0, 1, 1, 4, 5]",,"[0, 1, 1, 11, 6]",,"[3, 7, 9, 9, 3]",,"[2, 3, 4, 3, 3]",,"[2, 2, 4, 0, 4]",,,,,"[0, 0, 2, 4, 5]",,"[1, 2, 1, 6, 9]",,"[4, 9, 3, 9, 6]",,"[0, 4, 3, 5, 3]",,"[0, 1, 0, 6, 5]",,,,,"[1, 0, 5, 5, 0]",,"[0, 1, 12, 5, 1]",,"[0, 2, 19, 8, 2]",,"[0, 2, 6, 4, 3]",,"[0, 1, 9, 1, 1]",
02460,,,,,"[1, 0, 0, 1, 6]",,"[1, 0, 2, 7, 9]",,"[0, 0, 2, 3, 9]",,,,"[0, 2, 2, 12, 24]",,,,,"[1, 0, 0, 1, 6]",,"[1, 2, 4, 4, 8]",,"[1, 1, 2, 5, 5]",,,,"[0, 2, 7, 15, 16]",,,,,"[0, 1, 2, 2, 3]",,"[1, 2, 4, 4, 8]",,"[0, 4, 1, 5, 4]",,,,"[8, 13, 6, 11, 2]",,,,,"[0, 0, 3, 3, 2]",,"[0, 1, 5, 5, 8]",,"[2, 1, 3, 6, 2]",,,,"[1, 1, 12, 20, 6]"
02461,,,,"[1, 0, 1, 10, 30]",,"[0, 0, 1, 15, 27]",,"[1, 1, 4, 5, 12]",,"[0, 1, 4, 11, 7]",,"[0, 1, 0, 3, 2]",,,,,"[1, 0, 2, 12, 27]",,"[0, 1, 5, 11, 26]",,"[1, 3, 6, 6, 7]",,"[0, 3, 4, 8, 8]",,"[1, 1, 2, 1, 1]",,,,,"[0, 3, 5, 14, 20]",,"[1, 2, 5, 10, 25]",,"[1, 1, 5, 8, 8]",,"[0, 2, 1, 8, 12]",,"[1, 1, 2, 0, 2]",,,,,"[0, 4, 30, 6, 2]",,"[0, 6, 28, 8, 1]",,"[1, 4, 13, 3, 2]",,"[0, 9, 10, 2, 2]",,"[0, 3, 2, 1, 0]",
02462,,,,,"[1, 0, 1, 9, 16]",,"[0, 4, 4, 11, 14]",,"[1, 1, 4, 23, 25]",,"[4, 2, 4, 21, 10]",,,,,,,"[0, 2, 4, 9, 12]",,"[3, 4, 5, 12, 8]",,"[2, 3, 15, 19, 15]",,"[7, 6, 9, 13, 6]",,,,,,,"[0, 0, 6, 10, 11]",,"[1, 8, 5, 8, 10]",,"[2, 4, 10, 22, 16]",,"[0, 6, 6, 21, 8]",,,,,,,"[0, 3, 10, 10, 4]",,"[0, 3, 12, 14, 3]",,"[0, 9, 30, 14, 1]",,"[2, 7, 24, 7, 1]",,
02463,,,,,"[0, 0, 0, 6, 7]",,"[0, 0, 0, 0, 18]",,"[0, 1, 2, 5, 24]",,"[0, 0, 1, 12, 21]",,"[0, 0, 3, 10, 5]",,,,,"[0, 0, 1, 7, 5]",,"[0, 0, 1, 5, 12]",,"[1, 1, 4, 12, 13]",,"[0, 0, 5, 9, 20]",,"[0, 0, 5, 11, 2]",,,,,"[0, 1, 1, 5, 6]",,"[0, 0, 2, 3, 13]",,"[0, 1, 8, 8, 14]",,"[0, 1, 6, 13, 13]",,"[0, 2, 6, 7, 3]",,,,,"[0, 1, 9, 3, 0]",,"[0, 1, 13, 3, 1]",,"[0, 2, 25, 4, 0]",,"[0, 4, 23, 4, 2]",,"[0, 1, 14, 2, 1]"
02464,,,,,"[2, 5, 6, 10, 5]",,"[4, 8, 4, 12, 9]",,"[5, 5, 8, 26, 7]",,"[2, 4, 6, 16, 7]",,,,,,,"[2, 15, 2, 7, 2]",,"[12, 5, 6, 9, 5]",,"[5, 10, 15, 15, 5]",,"[3, 7, 7, 11, 6]",,,,,,,"[10, 13, 3, 2, 0]",,"[3, 12, 10, 10, 2]",,"[12, 17, 14, 5, 2]",,"[1, 4, 5, 12, 12]",,,,,,,"[0, 1, 18, 5, 4]",,"[4, 16, 10, 5, 2]",,"[1, 9, 30, 10, 0]",,"[2, 8, 20, 2, 2]",,
02465,,,,,"[4, 5, 3, 4, 2]",,"[3, 4, 2, 3, 4]",,"[0, 4, 2, 6, 19]",,"[1, 4, 6, 9, 13]",,"[0, 3, 3, 8, 15]",,,,,"[9, 5, 2, 2, 0]",,"[9, 0, 3, 2, 2]",,"[6, 2, 9, 7, 7]",,"[5, 5, 5, 13, 5]",,"[3, 1, 6, 7, 11]",,,,,"[5, 9, 4, 0, 0]",,"[2, 5, 6, 2, 1]",,"[1, 3, 4, 8, 15]",,"[0, 3, 5, 16, 9]",,"[0, 1, 5, 12, 10]",,,,,"[0, 0, 1, 2, 15]",,"[0, 0, 0, 5, 11]",,"[0, 0, 2, 13, 16]",,"[0, 0, 3, 7, 23]",,"[0, 0, 1, 11, 16]"
02466,,,,,"[0, 0, 0, 5, 8]",,"[0, 0, 0, 1, 7]",,"[1, 0, 1, 4, 19]",,"[0, 0, 1, 11, 26]",,,,,,,"[1, 1, 5, 2, 4]",,"[0, 1, 1, 0, 5]",,"[5, 3, 7, 7, 3]",,"[2, 5, 10, 13, 8]",,,,,,,"[0, 0, 2, 3, 8]",,"[0, 0, 0, 1, 6]",,"[1, 3, 3, 8, 11]",,"[2, 3, 12, 10, 11]",,,,,,,"[0, 0, 2, 7, 4]",,"[0, 0, 0, 4, 3]",,"[0, 0, 7, 7, 11]",,"[1, 5, 10, 17, 5]",,
02467,,,,,,,"[1, 1, 1, 4, 4]",,"[1, 1, 1, 1, 3]",,"[0, 5, 4, 7, 1]",,"[0, 0, 1, 2, 6]",,,,,,,"[0, 2, 0, 4, 5]",,"[2, 0, 0, 3, 2]",,"[6, 4, 2, 4, 1]",,"[0, 0, 1, 6, 2]",,,,,,,"[1, 0, 0, 4, 6]",,"[1, 1, 0, 1, 4]",,"[0, 4, 6, 3, 4]",,"[0, 0, 2, 1, 6]",,,,,,,"[0, 3, 5, 1, 2]",,"[0, 0, 6, 1, 0]",,"[0, 3, 8, 5, 1]",,"[1, 0, 5, 3, 0]"
02471,,,,"[0, 1, 3, 8, 4]",,"[0, 0, 2, 3, 19]",,"[0, 3, 4, 11, 19]",,"[0, 0, 0, 10, 23]",,"[1, 0, 6, 8, 26]",,,,,"[1, 2, 5, 6, 2]",,"[0, 3, 3, 4, 14]",,"[3, 2, 7, 12, 12]",,"[0, 0, 5, 13, 14]",,"[3, 1, 4, 12, 21]",,,,,"[0, 2, 3, 4, 7]",,"[0, 0, 0, 7, 17]",,"[0, 3, 3, 13, 17]",,"[0, 0, 1, 13, 18]",,"[0, 1, 2, 11, 27]",,,,,"[0, 1, 3, 8, 4]",,"[1, 0, 8, 13, 2]",,"[0, 0, 5, 15, 16]",,"[0, 0, 7, 15, 10]",,"[0, 3, 5, 15, 18]",
02476,,,,,,,,"[0, 0, 0, 1, 28]",,"[0, 0, 1, 5, 24]",,"[0, 0, 2, 5, 38]",,,,,,,,,"[0, 1, 1, 8, 19]",,"[0, 1, 4, 6, 19]",,"[0, 1, 2, 8, 33]",,,,,,,,,"[0, 3, 11, 8, 7]",,"[2, 4, 9, 6, 9]",,"[3, 4, 14, 10, 13]",,,,,,,,,"[0, 2, 9, 16, 2]",,"[0, 2, 13, 5, 10]",,"[1, 4, 18, 13, 8]",
02477,,,,,,,"[1, 0, 0, 4, 11]",,"[0, 0, 1, 7, 16]",,"[1, 1, 3, 5, 14]",,"[0, 3, 3, 7, 25]",,,,,,,"[1, 0, 2, 8, 5]",,"[0, 2, 3, 8, 11]",,"[1, 2, 2, 8, 11]",,"[1, 3, 5, 13, 13]",,,,,,,"[0, 3, 8, 2, 2]",,"[2, 5, 8, 5, 4]",,"[0, 1, 6, 8, 9]",,"[1, 2, 5, 11, 16]",,,,,,,"[0, 1, 6, 6, 3]",,"[0, 3, 8, 12, 1]",,"[1, 1, 9, 11, 2]",,"[0, 3, 12, 9, 11]"
02492,,,,"[0, 1, 0, 2, 3]",,"[1, 0, 2, 0, 0]",,"[0, 0, 1, 3, 0]",,"[0, 3, 0, 2, 0]",,"[5, 1, 4, 4, 6]",,,,,"[0, 0, 3, 0, 3]",,"[0, 1, 2, 0, 0]",,"[0, 0, 4, 0, 0]",,"[1, 1, 3, 0, 0]",,"[4, 3, 3, 5, 5]",,,,,"[0, 0, 1, 2, 3]",,"[0, 0, 3, 0, 0]",,"[1, 0, 0, 0, 3]",,"[0, 0, 0, 3, 2]",,"[1, 2, 1, 8, 7]",,,,,"[0, 1, 4, 1, 0]",,"[0, 0, 1, 0, 2]",,"[0, 0, 2, 2, 0]",,"[0, 1, 4, 0, 0]",,"[1, 2, 9, 3, 4]",
02501,,,,,,,,,,,,,"[0, 1, 0, 8, 12]",,,,,,,,,,,,,"[0, 0, 3, 6, 12]",,,,,,,,,,,,,"[2, 0, 5, 6, 7]",,,,,,,,,,,,,"[0, 0, 10, 8, 2]"
02502,,,,"[1, 6, 15, 27, 35]",,"[0, 11, 23, 39, 43]","[2, 2, 10, 27, 31]","[2, 4, 14, 41, 44]","[1, 2, 6, 21, 17]","[1, 3, 21, 52, 57]","[0, 0, 11, 29, 33]","[1, 4, 15, 48, 43]","[1, 3, 1, 13, 27]",,,,"[2, 8, 15, 26, 33]",,"[4, 15, 23, 36, 37]","[8, 4, 14, 26, 20]","[3, 4, 28, 45, 25]","[0, 5, 10, 20, 10]","[4, 9, 14, 45, 59]","[1, 5, 16, 13, 37]","[1, 5, 22, 37, 44]","[1, 4, 6, 10, 23]",,,,"[13, 18, 28, 12, 13]",,"[17, 34, 31, 17, 17]","[14, 11, 25, 15, 7]","[20, 37, 21, 14, 13]","[4, 7, 18, 8, 8]","[27, 24, 45, 20, 15]","[9, 18, 16, 14, 15]","[6, 20, 35, 23, 24]","[2, 4, 15, 7, 16]",,,,"[11, 31, 35, 5, 1]",,"[12, 38, 51, 10, 5]","[3, 13, 37, 14, 5]","[8, 34, 51, 9, 3]","[0, 10, 26, 8, 1]","[10, 46, 62, 13, 1]","[3, 14, 41, 12, 1]","[7, 15, 55, 17, 13]","[3, 3, 26, 5, 7]"
