COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,E22_LEARNING,F23_LEARNING,E23_LEARNING,F24_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,E22_MOTIVATION,F23_MOTIVATION,E23_MOTIVATION,F24_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,E22_FEEDBACK,F23_FEEDBACK,E23_FEEDBACK,F24_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD,E22_WORKLOAD,F23_WORKLOAD,E23_WORKLOAD,F24_WORKLOAD
01020,,,,,,,"[0, 2, 6, 15, 11]",,"[2, 2, 3, 11, 23]",,"[0, 3, 7, 9, 8]",,"[1, 4, 8, 8, 4]",,,,,,,"[2, 4, 9, 11, 8]",,"[3, 3, 12, 12, 11]",,"[3, 2, 6, 12, 4]",,"[5, 5, 8, 7, 0]",,,,,,,"[0, 4, 6, 10, 14]",,"[0, 3, 6, 18, 14]",,"[1, 2, 1, 10, 13]",,"[2, 0, 3, 13, 7]",,,,,,,"[0, 2, 13, 14, 5]",,"[1, 2, 17, 16, 5]",,"[0, 1, 12, 10, 4]",,"[0, 3, 11, 7, 4]"
01025,,,,"[0, 0, 0, 8, 27]",,"[0, 0, 0, 8, 27]",,"[0, 1, 0, 7, 24]",,"[0, 0, 1, 5, 19]",,"[0, 0, 4, 5, 17]",,,,,"[0, 0, 6, 13, 16]",,"[0, 0, 4, 14, 17]",,"[0, 0, 0, 13, 18]",,"[0, 1, 1, 9, 14]",,"[0, 2, 4, 6, 13]",,,,,"[0, 0, 1, 7, 27]",,"[0, 0, 0, 3, 32]",,"[0, 0, 1, 3, 27]",,"[0, 0, 1, 1, 23]",,"[0, 2, 0, 2, 21]",,,,,"[0, 3, 13, 17, 2]",,"[0, 0, 15, 17, 3]",,"[0, 0, 16, 14, 1]",,"[0, 1, 13, 10, 1]",,"[0, 1, 10, 10, 4]",
01034,,,,"[2, 5, 11, 23, 8]",,"[0, 0, 7, 18, 14]",,"[0, 0, 5, 24, 28]",,"[2, 1, 5, 10, 23]",,"[1, 1, 9, 28, 16]",,,,,"[6, 8, 15, 14, 5]",,"[1, 4, 7, 20, 7]",,"[3, 3, 5, 25, 21]",,"[3, 3, 9, 10, 16]",,"[4, 7, 9, 20, 14]",,,,,"[4, 8, 14, 15, 7]",,"[0, 4, 2, 17, 15]",,"[0, 1, 3, 19, 34]",,"[1, 4, 3, 8, 25]",,"[3, 5, 9, 19, 18]",,,,,"[1, 1, 26, 15, 6]",,"[1, 4, 17, 13, 4]",,"[0, 3, 19, 27, 8]",,"[2, 2, 17, 10, 10]",,"[0, 3, 19, 26, 6]",
01035,,,,"[4, 11, 22, 60, 28]","[0, 0, 5, 18, 37]","[4, 6, 18, 48, 43]","[0, 1, 2, 11, 19]","[0, 5, 13, 60, 64]","[0, 1, 1, 14, 50]","[0, 6, 6, 28, 42]","[0, 0, 2, 6, 30]","[0, 3, 9, 46, 36]","[1, 0, 3, 15, 9]",,,,"[7, 19, 34, 45, 20]","[0, 2, 7, 21, 30]","[12, 24, 33, 31, 18]","[1, 1, 9, 7, 13]","[3, 17, 33, 56, 32]","[3, 1, 6, 17, 39]","[2, 10, 10, 33, 27]","[0, 0, 5, 10, 23]","[2, 7, 29, 30, 24]","[3, 3, 10, 6, 6]",,,,"[3, 6, 20, 44, 52]","[0, 3, 0, 22, 35]","[3, 4, 28, 54, 29]","[0, 1, 6, 5, 19]","[1, 0, 12, 51, 76]","[0, 5, 6, 16, 38]","[0, 0, 10, 29, 41]","[0, 1, 7, 8, 22]","[1, 3, 13, 31, 44]","[0, 1, 5, 8, 13]",,,,"[0, 14, 70, 31, 10]","[1, 3, 29, 20, 7]","[2, 14, 56, 31, 15]","[2, 4, 10, 10, 5]","[1, 16, 73, 41, 10]","[1, 18, 30, 13, 4]","[1, 7, 41, 24, 9]","[0, 4, 21, 11, 2]","[1, 11, 38, 28, 14]","[0, 2, 8, 12, 5]"
01037,,,"[5, 5, 6, 40, 79]",,,,"[0, 1, 9, 32, 52]",,"[1, 0, 9, 49, 97]",,"[0, 0, 2, 24, 38]",,,,,"[3, 11, 16, 53, 52]",,,,"[0, 5, 16, 41, 32]",,"[0, 10, 26, 62, 58]",,"[0, 4, 13, 28, 19]",,,,,"[4, 26, 29, 49, 26]",,,,"[1, 4, 13, 33, 43]",,"[2, 9, 24, 58, 63]",,"[1, 6, 12, 17, 28]",,,,,"[4, 24, 63, 36, 8]",,,,"[3, 18, 42, 19, 13]",,"[6, 44, 56, 37, 12]",,"[4, 9, 25, 15, 11]",,
01125,,,,"[1, 3, 2, 6, 10]",,"[0, 1, 0, 11, 19]",,"[0, 0, 0, 5, 13]",,,"[0, 0, 1, 5, 19]",,"[0, 1, 1, 3, 5]",,,,"[4, 1, 3, 6, 8]",,"[1, 0, 6, 18, 6]",,"[0, 0, 4, 4, 10]",,,"[0, 0, 3, 6, 16]",,"[1, 0, 3, 3, 2]",,,,"[0, 0, 3, 4, 15]",,"[0, 3, 1, 15, 12]",,"[0, 0, 3, 3, 11]",,,"[0, 0, 1, 7, 17]",,"[0, 0, 0, 4, 5]",,,,"[0, 0, 8, 10, 3]",,"[0, 11, 11, 6, 3]",,"[0, 2, 8, 6, 1]",,,"[0, 6, 14, 3, 2]",,"[0, 3, 5, 1, 0]"
01227,,,,,"[0, 4, 7, 9, 7]",,"[0, 0, 4, 8, 7]",,"[0, 2, 2, 7, 18]",,"[0, 0, 1, 4, 6]",,"[0, 1, 5, 8, 9]",,,,,"[5, 6, 6, 5, 5]",,"[0, 3, 2, 8, 6]",,"[1, 1, 1, 13, 11]",,"[0, 1, 3, 3, 4]",,"[0, 2, 7, 2, 12]",,,,,"[0, 0, 5, 8, 14]",,"[0, 0, 0, 5, 14]",,"[2, 0, 4, 5, 16]",,"[0, 0, 0, 5, 6]",,"[0, 3, 6, 6, 8]",,,,,"[0, 2, 13, 11, 1]",,"[0, 4, 13, 2, 0]",,"[0, 3, 22, 1, 1]",,"[0, 1, 5, 3, 2]",,"[0, 3, 14, 3, 2]"
01237,,,,"[8, 10, 10, 9, 1]",,"[1, 4, 5, 12, 4]",,"[0, 1, 6, 21, 19]",,"[0, 1, 7, 14, 13]",,"[0, 2, 4, 24, 20]",,,,,"[11, 12, 10, 3, 2]",,"[3, 3, 6, 13, 1]",,"[0, 5, 5, 18, 19]",,"[0, 5, 6, 15, 9]",,"[1, 2, 7, 26, 14]",,,,,"[6, 14, 8, 4, 6]",,"[2, 6, 6, 8, 4]",,"[0, 1, 2, 10, 34]",,"[1, 1, 7, 13, 13]",,"[0, 2, 3, 18, 26]",,,,,"[2, 14, 17, 4, 1]",,"[1, 6, 17, 1, 1]",,"[1, 9, 23, 8, 4]",,"[0, 5, 16, 9, 5]",,"[2, 4, 30, 9, 5]",
01238,,,,,"[0, 0, 1, 3, 1]",,"[1, 0, 0, 4, 5]",,"[0, 3, 3, 3, 3]",,"[0, 1, 0, 1, 3]",,"[0, 0, 1, 1, 3]",,,,,"[0, 0, 2, 2, 1]",,"[1, 0, 0, 3, 6]",,"[1, 4, 4, 1, 2]",,"[1, 1, 0, 0, 3]",,"[0, 0, 0, 4, 1]",,,,,"[1, 0, 0, 0, 4]",,"[0, 0, 1, 0, 9]",,"[0, 1, 1, 5, 5]",,"[0, 0, 1, 2, 2]",,"[0, 0, 0, 0, 5]",,,,,"[0, 0, 4, 1, 0]",,"[1, 0, 7, 2, 0]",,"[0, 1, 4, 7, 0]",,"[0, 0, 3, 1, 1]",,"[0, 0, 3, 2, 0]"
01257,,,,"[0, 0, 1, 2, 1]",,"[0, 0, 0, 2, 0]",,"[0, 0, 1, 2, 4]",,"[0, 0, 0, 1, 5]",,"[0, 0, 0, 2, 2]",,,,,"[0, 0, 1, 0, 3]",,"[0, 0, 0, 0, 2]",,"[0, 1, 1, 0, 5]",,"[0, 0, 0, 1, 5]",,"[0, 0, 0, 1, 3]",,,,,"[0, 0, 1, 2, 1]",,"[0, 0, 0, 0, 2]",,"[0, 0, 1, 1, 5]",,"[0, 0, 0, 1, 5]",,"[0, 0, 0, 1, 3]",,,,,"[0, 0, 3, 1, 0]",,"[0, 0, 1, 1, 0]",,"[0, 0, 4, 3, 0]",,"[0, 0, 3, 2, 1]",,"[0, 0, 1, 1, 2]",
